Horses,1st,2nd,3rd,starts,win,place,roi
Mr Quickie,9,2,1,13,69.2,92.3,197.31
Winx,8,0,0,8,100.0,100.0,12.13
Avilius,8,0,0,11,72.7,72.7,118.64
Mystic Journey,7,0,0,8,87.5,87.5,319.38
Steel Prince,7,4,0,11,63.6,100.0,184.55
Noble Boy,7,0,0,9,77.8,77.8,97.78
Winning Ways,7,0,0,10,70.0,70.0,422.00
Archedemus,7,1,0,10,70.0,80.0,94.00
Le Juge,7,0,3,14,50.0,71.4,115.36
The Candy Man,7,2,1,11,63.6,90.9,109.09
Mr Attitude,7,0,2,12,58.3,75.0,205.42
Trekking,6,1,1,11,54.5,72.7,106.36
Dance Music,6,0,0,7,85.7,85.7,73.86
Electric Light,6,2,0,13,46.2,61.5,78.85
Chouxting the Mob,6,2,1,12,50.0,75.0,133.75
Olympic Academy,6,5,3,28,21.4,50.0,265.36
Dam Ready,6,2,0,18,33.3,44.4,192.78
Prince Ziggy,6,3,3,15,40.0,80.0,65.33
Neurological,6,0,0,8,75.0,75.0,176.25
Aetherius,6,3,2,14,42.9,78.6,-2.86
Savatoxl,6,0,1,8,75.0,87.5,28.75
Nistelrooy,6,0,4,15,40.0,66.7,244.33
Bells Tower,6,2,1,16,37.5,56.3,123.75
Maudy,6,1,2,17,35.3,52.9,68.82
Warwick Avenue,6,2,1,12,50.0,75.0,139.17
Trerice,6,2,2,10,60.0,100.0,27.00
Lattimer,6,0,3,11,54.5,81.8,110.00
The Autumn Sun,5,0,1,6,83.3,100.0,80.83
Sunlight,5,0,2,8,62.5,87.5,232.50
Angel of Truth,5,0,0,7,71.4,71.4,661.43
Invincibella,5,1,0,11,45.5,54.5,219.09
Arcadia Queen,5,0,1,6,83.3,100.0,57.17
Amphitrite,5,0,1,10,50.0,60.0,161.00
Streets of Avalon,5,3,1,14,35.7,64.3,57.86
Eastender,5,1,1,8,62.5,87.5,125.00
Kolding,5,1,3,11,45.5,81.8,6.36
Sky Boy,5,0,2,7,71.4,100.0,120.00
Star of the Seas,5,3,1,9,55.6,100.0,70.00
He's a Parker,5,3,0,10,50.0,80.0,128.00
Signore Fox,5,1,0,13,38.5,46.2,99.62
Prioritise,5,0,0,15,33.3,33.3,37.33
The Inevitable,5,0,0,6,83.3,83.3,227.50
Superhard,5,2,0,12,41.7,58.3,135.00
From Within,5,1,2,12,41.7,66.7,37.50
Kings Brook,5,0,0,9,55.6,55.6,141.67
Wasabi Bob,5,1,4,12,41.7,83.3,25.00
Spirit's Choice,5,1,1,11,45.5,63.6,5.82
Blazejowski,5,3,2,12,41.7,83.3,143.75
Mosh Music,5,0,1,6,83.3,100.0,157.50
All Too Royal,5,2,0,8,62.5,87.5,50.00
Cup Night,5,1,2,10,50.0,80.0,46.00
Begood Toya Mother,5,0,0,8,62.5,62.5,61.88
Meet Mr Taylor,5,0,0,7,71.4,71.4,123.57
Crown Fontein,5,2,2,11,45.5,81.8,64.09
Girl Tuesday,5,1,1,11,45.5,63.6,0.91
Snitch,5,3,0,13,38.5,61.5,48.46
Equal Love,5,2,0,8,62.5,87.5,39.38
Ruby Guru,5,1,3,18,27.8,50.0,110.00
Allround Glory,5,1,1,9,55.6,77.8,153.89
Marway,5,1,1,8,62.5,87.5,86.88
Pelonomena,5,2,0,12,41.7,58.3,97.92
Smartypy,5,2,2,12,41.7,75.0,98.75
Multiverse,5,0,0,8,62.5,62.5,296.25
Gypsy Toff,5,1,1,11,45.5,63.6,-33.91
Eye Art,5,0,0,10,50.0,50.0,335.00
Moschard,5,3,1,10,50.0,90.0,46.00
Ecker Road,5,0,1,10,50.0,60.0,254.00
Master Jamie,5,0,1,6,83.3,100.0,20.50
Super Swoop,5,1,2,13,38.5,61.5,26.92
Speed Force,5,2,2,11,45.5,81.8,19.55
Want to Bolt,5,1,0,8,62.5,75.0,81.25
Our Winnie,5,0,1,10,50.0,60.0,102.00
Zoffany's Lad,5,2,1,13,38.5,61.5,33.46
Mazzaro,5,2,0,11,45.5,63.6,167.27
Defiantly,5,0,1,12,41.7,50.0,290.00
Miss Street,5,2,2,10,50.0,90.0,-9.00
Quantum Dot,5,1,3,17,29.4,52.9,1.76
Taipei Dancer,5,2,3,11,45.5,90.9,101.82
Meazza,5,1,0,11,45.5,54.5,122.73
Freedoms,5,5,1,18,27.8,61.1,41.11
Irenic,5,1,0,12,41.7,50.0,157.50
Bramfield,5,1,1,11,45.5,63.6,48.18
Cool Prince,5,2,1,15,33.3,53.3,22.33
Exalted Bloom,5,2,2,23,21.7,39.1,-7.17
Bequeathed,5,0,0,11,45.5,45.5,13.18
Poetic Heart,5,2,0,11,45.5,63.6,189.09
Trade Talk,5,2,3,14,35.7,71.4,112.86
Spring Creek,5,3,2,11,45.5,90.9,4.55
Worldly Pleasure,5,0,1,9,55.6,66.7,132.78
Mr Phenomenal,5,2,0,10,50.0,70.0,43.50
Notta Mocha,5,0,1,11,45.5,54.5,63.64
Dashing Image,5,1,0,8,62.5,75.0,49.38
Mega D'oro,5,0,3,11,45.5,72.7,115.45
Gypsy Miss,5,0,1,10,50.0,60.0,35.50
Debseraa,5,0,0,5,100.0,100.0,79.00
Ararrac,5,0,1,9,55.6,66.7,217.78
Extra Brut,4,1,1,9,44.4,66.7,212.22
Kenedna,4,1,1,11,36.4,54.5,352.73
Microphone,4,2,0,6,66.7,100.0,124.17
Galaxy Star,4,3,1,8,50.0,100.0,-9.38
Verry Elleegant,4,1,1,8,50.0,75.0,8.75
Ball of Muscle,4,0,0,6,66.7,66.7,475.00
Despatch,4,0,0,5,80.0,80.0,502.00
The Odyssey,4,1,1,7,57.1,85.7,275.00
Bobbing,4,2,0,7,57.1,85.7,192.86
Princess Jenni,4,1,0,7,57.1,71.4,234.29
Ringerdingding,4,1,2,15,26.7,46.7,-18.00
Regal Power,4,3,2,12,33.3,75.0,-34.58
Military Zone,4,1,0,8,50.0,62.5,137.50
Big Blue,4,1,0,7,57.1,71.4,525.71
Fifty Stars,4,2,0,9,44.4,66.7,92.22
Surprise Baby,4,1,1,8,50.0,75.0,195.00
Multaja,4,3,0,12,33.3,58.3,39.17
Furrion,4,1,1,9,44.4,66.7,8.33
Market Ruler,4,1,2,12,33.3,58.3,-8.75
Gytrash,4,2,2,9,44.4,88.9,55.00
Halvorsen,4,3,2,12,33.3,75.0,115.33
Sexy Eyes,4,2,0,9,44.4,66.7,71.11
The Lord Mayor,4,1,0,13,30.8,38.5,61.54
Samadoubt,4,1,0,12,33.3,41.7,125.00
Special Reward,4,0,0,6,66.7,66.7,27.50
Order of Command,4,1,0,7,57.1,71.4,140.71
Twitchy Frank,4,1,1,8,50.0,75.0,98.75
Global Exchange,4,0,1,7,57.1,71.4,107.86
Intuition,4,1,1,11,36.4,54.5,130.00
Bandipur,4,0,1,10,40.0,50.0,88.00
Arcadia Prince,4,1,0,5,80.0,100.0,50.00
Fidelia,4,0,1,8,50.0,62.5,38.13
Vital Silver,4,1,2,7,57.1,100.0,207.14
Haripour,4,1,1,12,33.3,50.0,120.42
Declares War,4,0,2,11,36.4,54.5,42.73
Princess of Queens,4,1,0,13,30.8,38.5,141.54
Baccarat Baby,4,2,1,11,36.4,63.6,-1.82
Moonlover,4,1,0,12,33.3,41.7,241.67
Mishani Vaidra,4,2,1,10,40.0,70.0,149.50
Deprive,4,0,1,5,80.0,100.0,128.00
Theanswermyfriend,4,1,0,9,44.4,55.6,158.89
The Big Show,4,1,2,10,40.0,70.0,9.50
Zoustyle,4,0,0,4,100.0,100.0,65.00
Mahamedeis,4,0,0,13,30.8,30.8,34.62
Sure Knee,4,2,0,12,33.3,50.0,33.75
Our Libretto,4,0,2,12,33.3,50.0,43.75
Mirette,4,2,0,9,44.4,66.7,-7.78
Five Degrees,4,1,0,10,40.0,50.0,297.00
Gem Of Scotland,4,1,0,6,66.7,83.3,223.33
Mystyko,4,3,0,9,44.4,77.8,115.56
Tip Top,4,0,1,10,40.0,50.0,186.00
Mystery Miss,4,0,1,6,66.7,83.3,150.00
Heart Conquered,4,1,2,10,40.0,70.0,60.00
Cosmologist,4,0,0,8,50.0,50.0,206.25
Stella Victoria,4,2,0,9,44.4,66.7,24.22
Not Enough Effort,4,0,0,5,80.0,80.0,210.00
Zoutori,4,0,0,9,44.4,44.4,6.11
Mystical Pursuit,4,0,0,4,100.0,100.0,250.00
Parsifal,4,0,2,8,50.0,75.0,146.25
Wagner,4,1,0,11,36.4,45.5,7.73
Divine Dice,4,1,0,12,33.3,41.7,35.83
Fighting Teo,4,2,1,13,30.8,53.8,12.69
Etana,4,0,1,10,40.0,50.0,36.00
Haunted,4,0,4,9,44.4,88.9,42.78
Antah,4,1,1,6,66.7,100.0,297.50
Bad Wolf,4,2,0,11,36.4,54.5,386.36
Sylvia's Mother,4,0,1,7,57.1,71.4,33.57
Rock Beat,4,0,1,8,50.0,62.5,236.25
Tversky,4,0,0,5,80.0,80.0,274.00
Tell Me,4,0,2,10,40.0,60.0,-3.50
Alpha Sky,4,1,0,7,57.1,71.4,200.71
White Boots,4,3,3,11,36.4,90.9,31.36
Penny to Sell,4,2,0,14,28.6,42.9,1112.14
Kubis,4,2,1,13,30.8,53.8,99.23
Asgard Massif,4,2,1,11,36.4,63.6,137.27
Amberdi,4,1,0,9,44.4,55.6,20.00
Spunlago,4,1,2,15,26.7,46.7,105.33
Queen of Kingston,4,5,1,12,33.3,83.3,12.08
Deroche,4,1,1,6,66.7,100.0,-6.83
All Too Huiying,4,1,0,16,25.0,31.3,24.38
Reckless Choice,4,1,0,7,57.1,71.4,90.00
Terbium,4,0,0,5,80.0,80.0,219.00
Semper Fidelis,4,2,2,13,30.8,61.5,-5.38
Handle the Truth,4,0,0,7,57.1,57.1,156.43
Flower Of War,4,1,0,6,66.7,83.3,94.17
Come On Carl,4,3,1,11,36.4,72.7,253.64
Notation,4,1,1,7,57.1,85.7,122.86
Double Digit,4,0,1,12,33.3,41.7,316.67
Shady Hustle,4,0,1,6,66.7,83.3,925.00
Rosendahl Red,4,2,1,16,25.0,43.8,52.81
Fuchu,4,0,1,9,44.4,55.6,108.89
It Ain't All Honey,4,2,1,14,28.6,50.0,38.57
Mia Dolce,4,2,1,11,36.4,63.6,-13.64
Itz Lily,4,3,0,8,50.0,87.5,67.50
Fill the Flute,4,1,0,7,57.1,71.4,90.71
Bold Chance,4,1,0,9,44.4,55.6,69.44
Wolfe,4,1,0,5,80.0,100.0,216.00
Miss Redoble,4,0,0,10,40.0,40.0,515.00
Pretty Glass,4,2,0,9,44.4,66.7,18.89
Cath's Village,4,1,0,11,36.4,45.5,178.18
Mr Alby,4,1,1,15,26.7,40.0,390.00
Battle Storm,4,0,0,4,100.0,100.0,52.00
Lady Yendor,4,2,1,8,50.0,87.5,12.63
Dylan's Romance,4,0,1,14,28.6,35.7,317.86
Alienated,4,2,5,23,17.4,47.8,25.43
Mymming,4,4,2,16,25.0,62.5,15.00
Quick Nick,4,3,1,13,30.8,61.5,38.08
Gracie Belle,4,2,1,9,44.4,77.8,107.78
Takotsubo,4,3,0,13,30.8,53.8,139.23
The Tax Accountant,4,1,2,10,40.0,70.0,-17.50
Mystic Mist,4,1,3,15,26.7,53.3,2.67
Kabini,4,1,1,12,33.3,50.0,47.50
Malea Magic,4,1,0,8,50.0,62.5,458.13
Mandela Effect,4,0,0,6,66.7,66.7,58.33
Lota Creek Gold,4,2,2,15,26.7,53.3,30.67
Domination,4,3,2,18,22.2,50.0,-28.61
